sample,clone,nb_cells,total_cells,pct_clone
SA609X3XB01584,C,99,259,38.2
SA609X3XB01584,D,160,259,61.8
SA609X4XB003083,B,185,554,33.4
SA609X4XB003083,R,369,554,66.6
SA609X4XB03080,C_D,3977,4865,81.7
SA609X4XB03080,H,572,4865,11.8
SA609X5XB03223,D,1031,2608,39.5
SA609X5XB03223,H,1346,2608,51.6
SA609X5XB03230,R,2379,2418,98.4
SA609X5XB03231,B,2293,2590,88.5
SA609X5XB03231,R,297,2590,11.5
SA609X6XB03401,R,1844,1844,100
SA609X6XB03404,R,3047,3047,100
SA609X6XB03447,B,708,2450,28.9
SA609X6XB03447,C,1132,2450,46.2
SA609X6XB03447,H,506,2450,20.7
SA609X7XB03505,R,1934,1934,100
SA609X7XB03510,R,2371,2371,100
SA609X7XB03554,C,1013,1734,58.4
SA609X7XB03554,H,581,1734,33.5
