library_id,jira_ticket,available_bk,available_haplotype
A96201B,SC-3784,TRUE,TRUE
A95721B,SC-2912,TRUE,TRUE
A95731A,SC-3003,TRUE,TRUE
A98232A,SC-3173,TRUE,TRUE
A98277B,SC-2716,TRUE,TRUE
A98261A,SC-3213,TRUE,TRUE
A98197B,SC-3403,TRUE,TRUE
A98165A,SC-3377,TRUE,TRUE
A96121A,SC-3070,TRUE,TRUE
A96253A,SC-3010,TRUE,TRUE
A98269A,SC-2913,TRUE,TRUE
A98194B,SC-2914,TRUE,TRUE
A98277A,SC-2705,TRUE,TRUE
A98197A,SC-3409,TRUE,TRUE
A98194A,SC-2718,TRUE,TRUE
A98169A,SC-3312,TRUE,TRUE
A98174A,SC-3553,TRUE,TRUE
A98282B,SC-2771,TRUE,TRUE
A98296A,SC-2772,TRUE,TRUE
A98294B,SC-2732,TRUE,TRUE
A95697A,SC-2744,TRUE,TRUE
A98163A,SC-3264,TRUE,TRUE
A98262A,SC-2785,TRUE,TRUE
A98303B,SC-3572,TRUE,TRUE
A98262B,SC-2735,TRUE,TRUE
